model,shot_id,positive_prompt,negative_prompt,aspect_ratio,duration,notes
VEO,1,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: fast push-in, 9:16 vertical, product center frame. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: POV Oversized T-shirt: made for daily TikTok style. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,1,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: fast push-in, 9:16 vertical, product center frame. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: POV Oversized T-shirt: made for daily TikTok style. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,1,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: fast push-in, 9:16 vertical, product center frame. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: POV Oversized T-shirt: made for daily TikTok style. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,2,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: macro close-up, shallow depth of field. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 1: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,2,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: macro close-up, shallow depth of field. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 1: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,2,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: macro close-up, shallow depth of field. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 1: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,3,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: medium shot with slight handheld movement. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 2: bold front print. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,3,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: medium shot with slight handheld movement. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 2: bold front print. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,3,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: medium shot with slight handheld movement. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 2: bold front print. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,4,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: side tracking shot, stable product visibility. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 3: easy to match with jeans and cargo pants. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,4,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: side tracking shot, stable product visibility. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 3: easy to match with jeans and cargo pants. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,4,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: side tracking shot, stable product visibility. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 3: easy to match with jeans and cargo pants. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,5,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: static packshot with clean text overlay. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 4: comfortable for daily wear. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,5,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: static packshot with clean text overlay. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 4: comfortable for daily wear. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,5,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: static packshot with clean text overlay. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 4: comfortable for daily wear. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,6,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: slow orbit, avoid fast deformation. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 5: oversized streetwear fit. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,6,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: slow orbit, avoid fast deformation. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 5: oversized streetwear fit. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,6,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: slow orbit, avoid fast deformation. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 5: oversized streetwear fit. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
VEO,7,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: cut-to-detail with rhythmic transition. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 6: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
Seedance,7,"realistic commercial TikTok video, high detail, natural lighting, mobile-first composition. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: cut-to-detail with rhythmic transition. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 6: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
WAN,7,"realistic local video generation, stable motion, clear subject, simple action. Product: POV Oversized T-shirt. Scene: streetwear sidewalk / clean studio wall / coffee shop entrance. Camera: cut-to-detail with rhythmic transition. Action: model makes small natural movement: turn slightly, adjust hem, walk two steps. Focus: fit, print, fabric texture, outfit matching. Caption idea: Benefit 6: soft cotton fabric. Vertical 9:16, clean composition, product visible, natural motion.","deformed hands, distorted product, unreadable label, bad anatomy, extra fingers, complex physics interaction, flickering logo, warped text, low resolution, fast chaotic camera",9:16,4s,Use image reference when available. Keep product identity consistent across shots.
